Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
xisE	b1141	e14 prophage; putative excisionase	DNA recombination	cytosol	DNA binding	P75970	ymfG
intE	b1140	e14 prophage; putative integrase	viral genome integration into host DNA // establishment of integrated proviral latency // symbiont entry into host cell // DNA integration // DNA recombination	cytosol	integrase activity // DNA binding // protein heterodimerization activity	P75969	int(Lambda) // ycfI
lit	b1139	e14 prophage; cell death peptidase Lit	proteolysis // regulation of translational elongation	membrane // cytosol // plasma membrane	hydrolase activity // peptidase activity	P11072	
ymfE	b1138	e14 prophage; uncharacterized protein YmfE		membrane // plasma membrane		P75968	
ymfD	b1137	e14 prophage; putative SAM-dependent methyltransferase YmfD		cytosol		P75967	
icd	b1136	isocitrate dehydrogenase	electron transport chain // glyoxylate cycle // tricarboxylic acid cycle // response to oxidative stress	cytoplasm // cytosol	guanosine tetraphosphate binding // protein binding // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // magnesium ion binding // metal ion binding // isocitrate dehydrogenase (NADP+) activity	P08200	icdE // icdA
rluE	b1135	23S rRNA pseudouridine<sup>2457</sup> synthase	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) // maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) // RNA modification // rRNA processing // pseudouridine synthesis // enzyme-directed rRNA pseudouridine synthesis	cytosol	23S rRNA pseudouridine(2457) synthase activity // catalytic activity, acting on RNA // intramolecular transferase activity // isomerase activity // RNA binding // rRNA pseudouridine synthase activity // pseudouridine synthase activity	P75966	ymfC
nudJ	b1134	phosphatase NudJ		cytosol	4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity // hydrolase activity // pyrophosphatase activity // nucleoside diphosphate phosphatase activity // ribonucleoside triphosphate phosphatase activity // thiamine diphosphate phosphatase activity	P0AEI6	ymfB
mnmA	b1133	tRNA-specific 2-thiouridylase	tRNA modification // tRNA processing // tRNA wobble position uridine thiolation	sulfurtransferase complex // cytoplasm // cytosol	transferase activity // tRNA binding // nucleotide binding // RNA binding // ATP binding // sulfurtransferase activity	P25745	asuE // ycfB // trmU
hflD	b1132	lysogenization regulator	response to heat	cytoplasmic side of plasma membrane // membrane // cytoplasm // plasma membrane	protein binding	P25746	hslZ // ycfC
purB	b1131	adenylosuccinate lyase	purine ribonucleotide biosynthetic process // IMP biosynthetic process // 'de novo' AMP biosynthetic process // DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol	guanosine tetraphosphate binding // protein binding // lyase activity // catalytic activity // (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity // identical protein binding // N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	P0AB89	ade(h) // ade
phoP	b1130	DNA-binding transcriptional dual regulator PhoP-phosphorylated // DNA-binding transcriptional dual regulator PhoP	positive regulation of DNA-templated transcription // regulation of DNA-templated transcription // phosphorelay signal transduction system	protein-DNA complex // cytoplasm // cytosol	phosphorelay response regulator activity // DNA-binding transcription activator activity // transcription cis-regulatory region binding // identical protein binding // DNA binding	P23836	
phoQ	b1129	sensor histidine kinase PhoQ	cellular response to stimulus // phosphorelay signal transduction system // phosphorylation // signal transduction // osmosensory signaling via phosphorelay pathway // protein autophosphorylation // cellular response to magnesium starvation	membrane // plasma membrane	identical protein binding // hydrolase activity // transferase activity, transferring phosphorus-containing groups // transferase activity // protein histidine kinase activity // ATP binding // nucleotide binding // protein binding // phosphoprotein phosphatase activity // kinase activity // metal ion binding // phosphorelay sensor kinase activity	P23837	
roxA	b1128	50S ribosomal protein L16-arginine 3-hydroxylase	post-translational protein modification // peptidyl-arginine hydroxylation	cytosol	histone H3K36 demethylase activity // histone H3K4 demethylase activity // dioxygenase activity // metal ion binding // oxidoreductase activity // ferrous iron binding // protein binding // 2-oxoglutarate-dependent dioxygenase activity // protein homodimerization activity	P27431	ycfD
pepT	b1127	peptidase T	peptide catabolic process // proteolysis // peptide metabolic process	cytoplasm // cytosol	protein binding // hydrolase activity // peptidase activity // aminopeptidase activity // zinc ion binding // metal ion binding // metallopeptidase activity // protein homodimerization activity // tripeptide aminopeptidase activity	P29745	
potA	b1126	spermidine preferential ABC transporter ATP binding subunit	transmembrane transport // polyamine transport // spermidine transmembrane transport // putrescine transport	protein-containing complex // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // ABC-type putrescine transporter activity // ATP hydrolysis activity // nucleotide binding // ATP binding // ABC-type polyamine transporter activity	P69874	
potB	b1125	spermidine preferential ABC transporter membrane subunit PotB	transmembrane transport // spermidine transmembrane transport // putrescine transport	membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	ABC-type polyamine transporter activity	P0AFK4	
potC	b1124	spermidine preferential ABC transporter membrane subunit PotC	transmembrane transport // putrescine transport // spermidine transmembrane transport	membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	ABC-type polyamine transporter activity	P0AFK6	
potD	b1123	spermidine preferential ABC transporter periplasmic binding protein	organic substance transport // spermidine transmembrane transport // polyamine transport // putrescine transport // spermidine transport	membrane // periplasmic space // outer membrane-bounded periplasmic space	polyamine binding // spermidine binding // putrescine binding	P0AFK9	
ymfA	b1122	putative inner membrane protein YmfA	bacterial-type flagellum-dependent swarming motility	membrane // plasma membrane		P75962	
ycfZ	b1121	putative inner membrane protein YcfZ		membrane // plasma membrane		P75961	
cobB	b1120	CobB-S // protein-lysine deacetylase/desuccinylase/delipoylase	chromatin remodeling // defense response to virus // peptidyl-lysine deacetylation // peptidyl-lysine desuccinylation // chemotaxis	cytoplasm // cytosol	NAD-dependent histone deacetylase activity // NAD-dependent protein de-2-hydroxyisobutyrylase activity // protein lysine deacetylase activity // transferase activity // zinc ion binding // NAD+ ADP-ribosyltransferase activity // protein-malonyllysine demalonylase activity // NAD+ binding // metal ion binding // protein homodimerization activity // cyclic-di-GMP binding // lipoamidase activity // protein binding // protein-succinyllysine desuccinylase activity // NAD-dependent protein deacetylase activity	P75960-2 // P75960-1	ycfY
nagK	b1119	<i>N</i>-acetyl-D-glucosamine kinase	N-acetylglucosamine metabolic process // carbohydrate phosphorylation // phosphorylation // peptidoglycan turnover	cytosol	zinc ion binding // protein binding // transferase activity // kinase activity // metal ion binding // ATP binding // nucleotide binding // N-acetylglucosamine kinase activity	P75959	ycfX
lolE	b1118	lipoprotein release complex - inner membrane subunit	lipoprotein transport // lipoprotein localization to outer membrane	ATP-binding cassette (ABC) transporter complex // membrane // plasma membrane protein complex // plasma membrane	protein binding // lipoprotein releasing activity	P75958	ycfW
lolD	b1117	lipoprotein release complex - ATP binding subunit	transmembrane transport // protein localization to outer membrane // lipoprotein localization to membrane // lipoprotein localization to outer membrane	ATP-binding cassette (ABC) transporter complex // membrane // plasma membrane protein complex // plasma membrane	ATP hydrolysis activity // transmembrane transporter activity // nucleotide binding // lipoprotein releasing activity // ATP binding	P75957	ycfV
lolC	b1116	lipoprotein release complex - inner membrane subunit	protein localization to outer membrane // lipoprotein transport // lipoprotein localization to outer membrane	ATP-binding cassette (ABC) transporter complex // membrane // outer membrane-bounded periplasmic space // plasma membrane protein complex // plasma membrane	lipoprotein releasing activity // protein binding	P0ADC3	ycfU
ycfT	b1115	inner membrane protein YcfT	enterobacterial common antigen biosynthetic process	membrane // plasma membrane	O-acetyltransferase activity // acyltransferase activity, transferring groups other than amino-acyl groups	P75955	
mfd	b1114	transcription-repair coupling factor	nucleotide-excision repair, preincision complex assembly // DNA damage response // regulation of DNA-templated transcription // DNA repair // transcription-coupled nucleotide-excision repair // transcription-coupled nucleotide-excision repair, DNA damage recognition	DNA repair complex // cytoplasm // cytosol	helicase activity // protein binding // hydrolase activity // nucleic acid binding // damaged DNA binding // ATP binding // nucleotide binding // RNA polymerase core enzyme binding // DNA translocase activity // DNA binding	P30958	
ldtC	b1113	L,D-transpeptidase LdtC	peptidoglycan metabolic process // cell wall organization // peptidoglycan biosynthetic process // regulation of cell shape // peptidoglycan-protein cross-linking	extracellular region // periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // transferase activity // glycosyltransferase activity // carboxypeptidase activity // peptidoglycan L,D-transpeptidase activity	P75954	ycfS
bhsA	b1112	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	single-species biofilm formation // response to copper ion // response to stress	membrane // cell outer membrane		P0AB40	ycfR // comC
comR	b1111	DNA-binding transcriptional repressor ComR	regulation of biosynthetic process // regulation of primary metabolic process // regulation of DNA-templated transcription // response to copper ion // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	P75952	ycfQ
ycfJ	b1110	PF05433 family protein YcfJ	regulation of single-species biofilm formation	outer membrane // membrane // plasma membrane		P0AB35	
ndh	b1109	NADH:quinone oxidoreductase II	transmembrane transport // NADH oxidation // copper ion homeostasis // anaerobic respiration // aerobic electron transport chain // aerobic respiration	membrane // NADH dehydrogenase complex // plasma membrane	NADH dehydrogenase activity // NADH dehydrogenase (quinone) activity // oxidoreductase activity // flavin adenine dinucleotide binding // NADH dehydrogenase (ubiquinone) activity	P00393	
ycfP	b1108	PF05728 family protein YcfP		cytosol	protein binding	P0A8E1	
nagZ	b1107	&beta;-<i>N</i>-acetylglucosaminidase	cell wall organization // metabolic process // carbohydrate metabolic process // peptidoglycan turnover // cell division // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle	cytoplasm // cytosol	beta-N-acetylglucosaminidase activity // N-acetyl-beta-D-galactosaminidase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // hydrolase activity, acting on glycosyl bonds // hydrolase activity // beta-N-acetylhexosaminidase activity	P75949	ycfO
thiK	b1106	thiamine kinase	thiamine metabolic process // thiamine diphosphate biosynthetic process // phosphorylation	cytosol	ATP binding // nucleotide binding // transferase activity // kinase activity // thiamine kinase activity	P75948	ycfN
lpoB	b1105	outer membrane lipoprotein - activator of MrcB activity	regulation of cell shape // peptidoglycan biosynthetic process	membrane // periplasmic side of cell outer membrane // cell outer membrane	protein binding // enzyme regulator activity // enzyme activator activity // enzyme binding	P0AB38	ycfM
ycfL	b1104	DUF1425 domain-containing protein YcfL	DNA damage response	membrane		P75946	
hinT	b1103	purine nucleoside phosphoramidase	D-alanine catabolic process	cytoplasm // cytosol	protein homodimerization activity // hydrolase activity // catalytic activity // nucleotide binding // adenosine 5'-monophosphoramidase activity	P0ACE7	ycfF
fhuE	b1102	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	siderophore-dependent iron import into cell // iron ion transport // ferric-hydroxamate import into cell // ferrichrome import into cell // cellular response to hydroxyurea // intracellular iron ion homeostasis // siderophore transmembrane transport // siderophore transport // monoatomic ion transport	transmembrane transporter complex // membrane // cell outer membrane	high-affinity ferric iron transmembrane transporter activity // siderophore-iron transmembrane transporter activity // signaling receptor activity // siderophore uptake transmembrane transporter activity	P16869	
ptsG	b1101	EIIBC<sup>glc</sup> - phosphorylated // glucose-specific PTS enzyme IIBC component	organic substance transport // glucose transmembrane transport // regulation of DNA-templated transcription // phosphorylation // glucose import across plasma membrane // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // membrane // plasma membrane	glucose transmembrane transporter activity // transferase activity // kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // protein binding // protein-phosphocysteine-glucose phosphotransferase system transporter activity	P69786	umgC // umg // tgl // Cr // car // cat // catB2 // glcA // gptA
ycfH	b1100	putative metal-dependent hydrolase YcfH	DNA metabolic process	cytosol	protein binding // hydrolase activity, acting on ester bonds // DNA nuclease activity // metal ion binding // hydrolase activity	P0AFQ7	
holB	b1099	DNA polymerase III subunit &delta;'	DNA biosynthetic process // DNA replication // DNA-templated DNA replication	replisome // DNA polymerase III, clamp loader complex // cytosol // DNA polymerase III complex	3'-5' exonuclease activity // protein binding // nucleotidyltransferase activity // transferase activity // DNA-directed DNA polymerase activity // DNA binding	P28631	
tmk	b1098	Tmk	nucleoside monophosphate phosphorylation // dUDP biosynthetic process // nucleotide biosynthetic process // phosphorylation // nucleobase-containing small molecule interconversion // dTTP biosynthetic process // dTDP biosynthetic process	cytoplasm // cytosol	transferase activity // kinase activity // ATP binding // nucleotide binding // protein homodimerization activity // thymidylate kinase activity	P0A720	ycfG
mltG	b1097	endolytic murein transglycosylase	peptidoglycan biosynthetic process // cell wall organization // peptidoglycan metabolic process // cytokinesis	membrane // outer membrane-bounded periplasmic space // plasma membrane	lyase activity // identical protein binding // protein binding // lytic endotransglycosylase activity	P28306	yceG
pabC	b1096	aminodeoxychorismate lyase	carboxylic acid biosynthetic process // organonitrogen compound biosynthetic process // tetrahydrofolate biosynthetic process // folic acid biosynthetic process // para-aminobenzoic acid biosynthetic process	cytosol	lyase activity // catalytic activity // protein homodimerization activity // pyridoxal phosphate binding // 4-amino-4-deoxychorismate lyase activity	P28305	
fabF	b1095	3-oxoacyl-[acyl carrier protein] synthase 2	small molecule metabolic process // fatty acid metabolic process // lipid metabolic process // fatty acid biosynthetic process // response to cold // fatty acid elongation, saturated fatty acid // monounsaturated fatty acid biosynthetic process	cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // transferase activity // protein binding // protein homodimerization activity // 3-oxoacyl-[acyl-carrier-protein] synthase activity	P0AAI5	vtr // cvc // fabJ // vtrB
acpP	b1094	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein	response to xenobiotic stimulus // lipid biosynthetic process // fatty acid metabolic process // lipid metabolic process // lipid A biosynthetic process // fatty acid biosynthetic process	cytoplasm // cytosol	lipid binding // protein binding // phosphopantetheine binding // acyl carrier activity // acyl binding	P0A6A8	
fabG	b1093	3-oxoacyl-[acyl-carrier-protein] reductase FabG	fatty acid metabolic process // lipid metabolic process // fatty acid elongation // biotin biosynthetic process // lipid biosynthetic process // fatty acid biosynthetic process	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // NADP binding // metal ion binding // identical protein binding // 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	P0AEK2	
fabD	b1092	[acyl-carrier-protein] <i>S</i>-malonyltransferase	fatty acid metabolic process // lipid metabolic process // fatty acid biosynthetic process	cytosol	S-malonyltransferase activity // acyltransferase activity // transferase activity // [acyl-carrier-protein] S-malonyltransferase activity	P0AAI9	tfpA
fabH	b1091	3-oxoacyl-[acyl carrier protein] synthase 3	small molecule metabolic process // fatty acid metabolic process // lipid metabolic process // metabolic process // fatty acid biosynthetic process	cytoplasm // cytosol	acyltransferase activity // transferase activity // catalytic activity // 3-oxoacyl-[acyl-carrier-protein] synthase activity // protein homodimerization activity // beta-ketoacyl-acyl-carrier-protein synthase III activity	P0A6R0	
plsX	b1090	putative phosphate acyltransferase	phospholipid metabolic process // lipid metabolic process // fatty acid biosynthetic process // phospholipid biosynthetic process	cytosol // cytoplasm	catalytic activity // acyltransferase activity, transferring groups other than amino-acyl groups // transferase activity // phosphate:acyl-[acyl carrier protein] acyltransferase activity	P27247	
rpmF	b1089	50S ribosomal subunit protein L32	cytoplasmic translation // ribosomal large subunit assembly // translation // response to reactive oxygen species // response to radiation	ribonucleoprotein complex // cytoplasm // large ribosomal subunit // ribosome // cytosol // cytosolic large ribosomal subunit	protein binding // structural constituent of ribosome	P0A7N4	
yceD	b1088	DUF177 domain-containing protein YceD	ribosome biogenesis	cytosol		P0AB28	
yceF	b1087	m<sup>7</sup>GTP pyrophosphatase	nucleotide metabolic process	cytoplasm // cytosol	hydrolase activity // pyrophosphatase activity // nucleoside triphosphate diphosphatase activity	P0A729	
rluC	b1086	23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase	RNA modification // rRNA processing // pseudouridine synthesis // enzyme-directed rRNA pseudouridine synthesis	cytosol	23S rRNA pseudouridine(955/2504/2580) synthase activity // isomerase activity // RNA binding // pseudouridine synthase activity // rRNA pseudouridine synthase activity	P0AA39	yceC
yceQ	b1085	DUF2655 domain-containing protein YceQ				P62066	
rne	b1084	ribonuclease E	protein complex oligomerization // regulation of RNA helicase activity // rRNA processing // RNA processing // protein homotetramerization // tRNA processing // mRNA catabolic process // rRNA 5'-end processing // RNA catabolic process	membrane // cytoplasm // endoribonuclease complex // bacterial degradosome // cytoplasmic side of plasma membrane // plasma membrane	molecular adaptor activity // rRNA binding // tRNA binding // RNA endonuclease activity // identical protein binding // DEAD/H-box RNA helicase binding // 7S RNA binding // nucleic acid binding // metal ion binding // RNA nuclease activity // hydrolase activity // endonuclease activity // nuclease activity // RNA binding // ribonuclease E activity // zinc ion binding // magnesium ion binding // protein binding	P21513	smbB // ams // hmp1
flgL	b1083	flagellar hook-filament junction protein 2	bacterial-type flagellum-dependent cell motility	bacterial-type flagellum hook // extracellular region // bacterial-type flagellum	structural molecule activity	P29744	flaT
flgK	b1082	flagellar hook-filament junction protein 1	bacterial-type flagellum assembly	bacterial-type flagellum hook // extracellular region // bacterial-type flagellum	protein binding // structural molecule activity	P33235	flaS
flgJ	b1081	putative peptidoglycan hydrolase FlgJ	cell wall organization // bacterial-type flagellum organization // bacterial-type flagellum assembly // metabolic process // bacterial-type flagellum-dependent cell motility	periplasmic space // outer membrane-bounded periplasmic space	amidase activity // hydrolase activity, acting on glycosyl bonds // hydrolase activity	P75942	flaZ
flgI	b1080	flagellar P-ring protein	archaeal or bacterial-type flagellum-dependent cell motility // DNA damage response // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum // bacterial-type flagellum basal body // periplasmic space // outer membrane-bounded periplasmic space // bacterial-type flagellum basal body, distal rod, P ring	structural molecule activity	P0A6S3	flaM
flgH	b1079	flagellar L-ring protein	archaeal or bacterial-type flagellum-dependent cell motility // bacterial-type flagellum-dependent cell motility // response to osmotic stress	bacterial-type flagellum basal body, distal rod, L ring // bacterial-type flagellum // bacterial-type flagellum basal body // membrane // cell outer membrane	cytoskeletal motor activity	P0A6S0	flaY
flgG	b1078	flagellar basal-body rod protein FlgG	chemotaxis // bacterial-type flagellum-dependent swarming motility // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum basal body, rod // bacterial-type flagellum basal body // cell outer membrane // bacterial-type flagellum basal body, distal rod // bacterial-type flagellum		P0ABX5	flaL
flgF	b1077	flagellar basal-body rod protein FlgF	chemotaxis // bacterial-type flagellum-dependent swarming motility // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum basal body // bacterial-type flagellum basal body, rod // bacterial-type flagellum		P75938	flaX
flgE	b1076	flagellar hook protein FlgE	bacterial-type flagellum-dependent swarming motility	bacterial-type flagellum // bacterial-type flagellum hook // bacterial-type flagellum basal body // cytosol		P75937	flaK
flgD	b1075	flagellar biosynthesis, initiation of hook assembly	bacterial-type flagellum-dependent swarming motility // bacterial-type flagellum organization	cytosol		P75936	flaV
flgC	b1074	flagellar basal-body rod protein FlgC	chemotaxis // bacterial-type flagellum-dependent swarming motility // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum basal body // outer membrane-bounded periplasmic space // bacterial-type flagellum basal body, rod // bacterial-type flagellum		P0ABX2	flaW
flgB	b1073	flagellar basal-body rod protein FlgB	chemotaxis // bacterial-type flagellum-dependent swarming motility // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum basal body // bacterial-type flagellum basal body, rod // outer membrane-bounded periplasmic space // bacterial-type flagellum		P0ABW9	flbA
flgA	b1072	flagellar basal body P-ring formation protein FlgA	bacterial-type flagellum assembly // bacterial-type flagellum organization // bacterial-type flagellum-dependent cell motility	periplasmic space // outer membrane-bounded periplasmic space		P75933	flaU
flgM	b1071	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	bacterial-type flagellum organization // negative regulation of DNA-templated transcription // negative regulation of proteolysis	cytosol // cytoplasm	protein binding // sigma factor antagonist activity	P0AEM4	
flgN	b1070	flagellar biosynthesis protein FlgN	bacterial-type flagellum organization // bacterial-type flagellum assembly	cytosol // cytoplasm	protein binding	P43533	
murJ	b1069	lipid II flippase MurJ	lipid translocation // glycolipid translocation // cell wall organization // regulation of cell shape // lipid-linked peptidoglycan transport // peptidoglycan biosynthetic process	membrane // division septum // plasma membrane	cardiolipin binding // lipid-linked peptidoglycan transporter activity	P0AF16	mviN // yceN
yceM	b1068	putative oxidoreductase YceM		cytosol	nucleotide binding // oxidoreductase activity	P75931	mviM
yceH	b1067	DUF480 domain-containing protein YceH		cytosol		P29217	
rimJ	b1066	ribosomal-protein-S5-alanine N-acetyltransferase	protein modification process // maturation of SSU-rRNA // N-terminal peptidyl-alanine acetylation // ribosome biogenesis // N-terminal peptidyl-serine acetylation	cytoplasm // cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // transferase activity // N-acetyltransferase activity // peptide-alanine-alpha-N-acetyltransferase activity // peptide-serine-alpha-N-acetyltransferase activity // preribosome binding	P0A948	tcp
mdtH	b1065	multidrug efflux pump MdtH	transmembrane transport // response to antibiotic	membrane // plasma membrane	transmembrane transporter activity	P69367	yceL
grxB	b1064	oxidized glutaredoxin 2 // reduced glutaredoxin 2		cytosol	glutathione disulfide oxidoreductase activity	P0AC59	
yceB	b1063	putative lipid-binding lipoprotein YceB		plasma membrane // membrane		P0AB26	
pyrC	b1062	dihydroorotase	pyrimidine nucleobase biosynthetic process // 'de novo' UMP biosynthetic process // pyrimidine nucleotide biosynthetic process // 'de novo' pyrimidine nucleobase biosynthetic process	cytoplasm // cytosol	protein homodimerization activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides // hydrolase activity // metal ion binding // zinc ion binding // dihydroorotase activity	P05020	
dinI	b1061	DNA damage-inducible protein I	DNA damage response // DNA repair // SOS response	cytosol	enzyme binding	P0ABR1	
bssS	b1060	regulator of biofilm formation	single-species submerged biofilm formation // regulation of single-species biofilm formation			P0AB33	yceP
solA	b1059	N-methyl-L-tryptophan oxidase	L-lysine catabolic process to acetyl-CoA via L-pipecolate // DNA damage response	cytosol	saccharopine oxidase activity // L-pipecolate oxidase activity // oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor // sarcosine oxidase activity // oxidoreductase activity // flavin adenine dinucleotide binding // N-methyl-L-amino-acid oxidase activity	P40874	
yceO	b1058	DUF2770 domain-containing protein YceO	single-species biofilm formation // response to acidic pH	plasma membrane		P64442	
yceJ	b1057	putative cytochrome b561 YceJ	respiratory electron transport chain	membrane // plasma membrane	heme binding // electron transfer activity // metal ion binding	P75925	
yceI	b1056	protein YceI		periplasmic space // outer membrane-bounded periplasmic space		P0A8X2	
trhO	b1055	tRNA U34 hydroxylase TrhO	tRNA processing // tRNA modification // tRNA wobble uridine modification	cytosol	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen // protein binding // oxidoreductase activity	P24188	yceA
lpxL	b1054	lauroyl acyltransferase	glycolipid biosynthetic process // lipopolysaccharide biosynthetic process // Kdo2-lipid A biosynthetic process // lipid A biosynthetic process // response to stress	membrane // plasma membrane	lauroyltransferase activity // acyltransferase activity // transferase activity	P0ACV0	htrB // waaM
mdtG	b1053	efflux pump MdtG	transmembrane transport // response to antibiotic // xenobiotic detoxification by transmembrane export across the plasma membrane // response to paraquat	membrane // plasma membrane	transmembrane transporter activity	P25744	yceE
b1052	b1052						
msyB	b1051	acidic protein MsyB		cytosol		P25738	
yceK	b1050	DUF1375 domain-containing lipoprotein YceK	DNA damage response			P0AB31	
opgH	b1049	osmoregulated periplasmic glucans biosynthesis protein H	cellular biosynthetic process // organic substance biosynthetic process // osmoregulated periplasmic glucan biosynthetic process // regulation of cell size // glucan biosynthetic process	membrane // plasma membrane	protein binding // transferase activity // hexosyltransferase activity // glycosyltransferase activity	P62517	mdoA // mdoH
opgG	b1048	osmoregulated periplasmic glucans biosynthesis protein G	glucan biosynthetic process // carbohydrate biosynthetic process // carbohydrate metabolic process // beta-glucan biosynthetic process	periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // catalytic activity	P33136	mdoA // mdoG
opgC	b1047	osmoregulated periplasmic glucans (OPG) biosynthesis protein C	osmoregulated periplasmic glucan biosynthetic process // glucan biosynthetic process	membrane // plasma membrane	acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // transferase activity // transferase activity, transferring one-carbon groups // succinyltransferase activity	P75920	ymdD // mdoC
clsC	b1046	cardiolipin synthase C	phospholipid biosynthetic process // lipid metabolic process // cardiolipin biosynthetic process	plasma membrane	phosphatidyltransferase activity // phosphotransferase activity, for other substituted phosphate groups // catalytic activity // transferase activity // phosphatidylglycerol-phosphatidylethanolamine phosphatidyltransferase activity	P75919	ymdC
ymdB	b1045	2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	purine nucleoside metabolic process // response to antibiotic // regulation of single-species biofilm formation on inanimate substrate	cytosol	deacetylase activity // ribonuclease inhibitor activity // purine nucleoside binding // hydrolase activity // endoribonuclease inhibitor activity // O-acetyl-ADP-ribose deacetylase activity // enzyme binding	P0A8D6	
ymdA	b1044	uncharacterized protein YmdA	single-species biofilm formation	extracellular region		P75917	
csgC	b1043	curlin chaperone		periplasmic space		P52107	ycdE
csgA	b1042	curlin	amyloid fibril formation // regulation of amyloid fibril formation // cell adhesion // single-species biofilm formation	extracellular region // pilus	identical protein binding // protein binding	P28307	
csgB	b1041	curlin, minor subunit	regulation of amyloid fibril formation // cell adhesion // curli assembly // amyloid fibril formation // single-species biofilm formation	pilus // cell outer membrane	identical protein binding // protein binding	P0ABK7	
csgD	b1040	DNA-binding transcriptional dual regulator CsgD	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // regulation of single-species biofilm formation // positive regulation of DNA-templated transcription initiation	protein-DNA complex // membrane // plasma membrane // cytosol	identical protein binding // DNA-binding transcription activator activity // transcription cis-regulatory region binding // DNA-binding transcription repressor activity // DNA binding // cis-regulatory region sequence-specific DNA binding	P52106	
csgE	b1039	curli assembly component CsgE	single-species biofilm formation // protein transmembrane transport // protein secretion by the type VIII secretion system // curli assembly	cell outer membrane // curli secretion complex // cytosol	identical protein binding // protein binding	P0AE95	
csgF	b1038	curli assembly component CsgF	protein secretion by the type VIII secretion system // curli assembly	membrane // curli secretion complex // cell outer membrane	identical protein binding // protein binding	P0AE98	
csgG	b1037	curli secretion channel	single-species biofilm formation // protein transmembrane transport // protein secretion by the type VIII secretion system // curli assembly	cell outer membrane // outer membrane-bounded periplasmic space // plasma membrane // membrane // curli secretion complex	protein binding // identical protein binding	P0AEA2	
ycdZ	b1036	inner membrane protein YcdZ		membrane // plasma membrane		P75916	nupT
ycdY	b1035	chaperone protein YcdY	DNA damage response // bacterial-type flagellum-dependent swarming motility	cytosol	protein binding	P75915	
